t_s,x_m,y_m,z_m,vx_m_s,vy_m_s,vz_m_s,energy_J,status
2110.0,99999970457.01451,63299993.76620014,0.0,-28.00282963063825,29999.991136777167,0.0,-877172568.7866383,ok
2120.0,99999970176.32265,63599993.67714719,0.0,-28.13554446210833,29999.99105256649,0.0,-877172568.7866379,ok
2130.0,99999969894.30363,63899993.58725014,0.0,-28.26825929356561,29999.990967957652,0.0,-877172568.7866378,ok
2140.0,99999969610.95747,64199993.496505015,0.0,-28.400974125010023,29999.990882950657,0.0,-877172568.7866375,ok
2150.0,99999969326.28416,64499993.40490783,0.0,-28.533688956441516,29999.9907975455,0.0,-877172568.7866375,ok
2160.0,99999969040.2837,64799993.3124546,0.0,-28.666403787860023,29999.990711742183,0.0,-877172568.7866375,ok
2170.0,99999968752.9561,65099993.21914135,0.0,-28.799118619265485,29999.990625540708,0.0,-877172568.7866373,ok
2180.0,99999968464.30135,65399993.12496409,0.0,-28.931833450657845,29999.990538941074,0.0,-877172568.7866371,ok
2190.0,99999968174.31944,65699993.02991884,0.0,-29.064548282037038,29999.99045194328,0.0,-877172568.7866374,ok
2200.0,99999967883.01039,65999992.934001625,0.0,-29.197263113403004,29999.990364547324,0.0,-877172568.7866373,ok
2210.0,99999967590.37419,66299992.83720846,0.0,-29.329977944755683,29999.99027675321,0.0,-877172568.7866373,ok
2220.0,99999967296.41084,66599992.73953536,0.0,-29.462692776095018,29999.99018856094,0.0,-877172568.7866368,ok
2230.0,99999967001.12035,66899992.64097835,0.0,-29.595407607420945,29999.99009997051,0.0,-877172568.7866371,ok
2240.0,99999966704.5027,67199992.54153344,0.0,-29.728122438733404,29999.990010981917,0.0,-877172568.7866368,ok
2250.0,99999966406.5579,67499992.44119665,0.0,-29.860837270032334,29999.989921595166,0.0,-877172568.7866371,ok
2260.0,99999966107.28596,67799992.339964,0.0,-29.99355210131768,29999.989831810257,0.0,-877172568.7866368,ok
2270.0,99999965806.68687,68099992.23783152,0.0,-30.126266932589374,29999.98974162719,0.0,-877172568.7866368,ok
2280.0,99999965504.76064,68399992.13479522,0.0,-30.25898176384736,29999.98965104596,0.0,-877172568.7866367,ok
2290.0,99999965201.50725,68699992.03085111,0.0,-30.391696595091577,29999.98956006657,0.0,-877172568.7866368,ok
2300.0,99999964896.92671,68999991.92599522,0.0,-30.524411426321965,29999.989468689022,0.0,-877172568.7866366,ok
2310.0,99999964591.01903,69299991.82022355,0.0,-30.65712625753846,29999.989376913316,0.0,-877172568.7866366,ok
2320.0,99999964283.7842,69599991.71353215,0.0,-30.789841088741007,29999.98928473945,0.0,-877172568.7866367,ok
2330.0,99999963975.22221,69899991.60591702,0.0,-30.922555919929543,29999.989192167424,0.0,-877172568.7866364,ok
2340.0,99999963665.33308,70199991.49737418,0.0,-31.055270751104008,29999.98909919724,0.0,-877172568.7866366,ok
2350.0,99999963354.1168,70499991.38789964,0.0,-31.18798558226434,29999.989005828895,0.0,-877172568.7866361,ok
2360.0,99999963041.57338,70799991.27748942,0.0,-31.32070041341048,29999.988912062392,0.0,-877172568.7866364,ok
